Französisch,Deutsch,Kategorie
bonjour,guten Tag,Begrüßung
salut,hallo,Begrüßung
bonsoir,guten Abend,Begrüßung
bonne nuit,gute Nacht,Begrüßung
au revoir,auf Wiedersehen,Begrüßung
s'il vous plaît,bitte,Begrüßung
merci,danke,Begrüßung
merci beaucoup,vielen Dank,Begrüßung
de rien,gern geschehen,Begrüßung
pardon,Entschuldigung,Begrüßung
excusez-moi,entschuldigen Sie,Begrüßung
bienvenue,willkommen,Begrüßung
oui,ja,Begrüßung
non,nein,Begrüßung
peut-être,vielleicht,Begrüßung
d'accord,einverstanden,Begrüßung
nom,Name,Personen
prénom,Vorname,Personen
personne,Person,Personen
homme,Mann,Personen
femme,Frau,Personen
enfant,Kind,Personen
garçon,Junge,Personen
fille,Mädchen,Personen
ami,Freund,Personen
amie,Freundin,Personen
monsieur,Herr,Personen
madame,Frau,Personen
âge,Alter,Personen
famille,Familie,Familie
père,Vater,Familie
mère,Mutter,Familie
parents,Eltern,Familie
fils,Sohn,Familie
fille,Tochter,Familie
frère,Bruder,Familie
sœur,Schwester,Familie
grand-père,Großvater,Familie
grand-mère,Großmutter,Familie
oncle,Onkel,Familie
tante,Tante,Familie
cousin,Cousin,Familie
mari,Ehemann,Familie
femme,Ehefrau,Familie
zéro,null,Zahlen
un,eins,Zahlen
deux,zwei,Zahlen
trois,drei,Zahlen
quatre,vier,Zahlen
cinq,fünf,Zahlen
six,sechs,Zahlen
sept,sieben,Zahlen
huit,acht,Zahlen
neuf,neun,Zahlen
dix,zehn,Zahlen
vingt,zwanzig,Zahlen
trente,dreißig,Zahlen
cent,hundert,Zahlen
mille,tausend,Zahlen
premier,erste,Zahlen
tout,alle,Zahlen
beaucoup,viel,Zahlen
un peu,ein wenig,Zahlen
plus,mehr,Zahlen
moins,weniger,Zahlen
temps,Zeit,Zeit & Datum
heure,Stunde,Zeit & Datum
minute,Minute,Zeit & Datum
jour,Tag,Zeit & Datum
aujourd'hui,heute,Zeit & Datum
hier,gestern,Zeit & Datum
demain,morgen,Zeit & Datum
semaine,Woche,Zeit & Datum
week-end,Wochenende,Zeit & Datum
mois,Monat,Zeit & Datum
an,Jahr,Zeit & Datum
matin,Morgen,Zeit & Datum
midi,Mittag,Zeit & Datum
soir,Abend,Zeit & Datum
nuit,Nacht,Zeit & Datum
lundi,Montag,Wochentage
mardi,Dienstag,Wochentage
mercredi,Mittwoch,Wochentage
jeudi,Donnerstag,Wochentage
vendredi,Freitag,Wochentage
samedi,Samstag,Wochentage
dimanche,Sonntag,Wochentage
printemps,Frühling,Jahreszeiten
été,Sommer,Jahreszeiten
