Spanisch,Deutsch,Lektion
soltero,ledig,
viajar,reisen,
llamarse,heißen,
el taxi,Taxi,
mucho,"viel, sehr, oft",
trabajar,arbeiten,
buenos días,"guten Tag, guten Morgen",
adónde,wohin?,
ir,"gehen, fahren",
a,"nach, zu",
la calle,Straße,
poder,können,
la enfermera,Krankenschwester,
aquí,hier,
tener,haben,
la foto,Foto,
guapo,"hübsch, gut aussehend",
qué,"was, welche/r/s",
yo,ich,
hacer,"machen, tun",
delante,davor,
el turismo,Tourismus,
sí,"ja, doch",
o,oder,
claro,klar,
el trabajo,Arbeit,
ser,sein,
su,"sein/e, ihr/e, Ihr/e",
el fotógrafo,Fotograf,
eso,das da,
primero,erste/r/s,
la vez,Mal,
en,"in, an, auf",
la clase,Art,
periodista,Journalist/in,
querer,"wollen, möchten, lieben",
mi,mein/e,
el libro,Buch,
de,"von, aus",
la persona,Person,
Alemania,Deutschland,
la historia,Geschichte,
personal,persönlich,
tener años,Jahre alt sein,
el año,Jahr,
gracias,danke,
por,"wegen, für",
bueno,gut,
la idea,Idee,
alojarse,übernachten,
la información,Information,
estudiar,"lernen, studieren",
el hotel,Hotel,
significar,bedeuten,
el curso,Kurs,
la casa,Haus,
el amigo,Freund,
hablar,sprechen,
solo,"allein, nur",
un poco,"etwas, ein bisschen",
ya,"schon, gleich",
haber,haben/sein,
llegar,ankommen,
el español,Spanisch,
el euro,Euro,
pues,"nun, tja",
el dinero,Geld,
muy,sehr,
el resto,Rest,
bien,gut,
para,für,
usted,Sie,
vivir,"leben, wohnen",
mí,"mir, mich",
con,"mit, bei",
le,"ihm, ihr, Ihnen",
entender,verstehen,
la mujer,Ehefrau,
estar,"sein, sich befinden",
casado,verheiratet,
no,"nein, nicht",
la maleta,Koffer,
Austria,Österreich,
Suiza,Schweiz,
Inglaterra,England,
Canadá,Kanada,
Estados Unidos,Vereinigte Staaten,
España,Spanien,
Latinoamérica,Lateinamerika,
se,"man, sich",
el alemán,Deutsch,
el inglés,Englisch,
el portugués,Portugiesisch,
el castellano,"Kastilisch, Spanisch",
el catalán,Katalanisch,
el gallego,Galicisch,
el vasco,Baskisch,
el idioma,Sprache,
la lengua,"Sprache, Zunge",
dónde,wo,
de dónde,woher,
el país,Land,
Turquía,Türkei,
Portugal,Portugal,
Siria,Syrien,
Japón,Japan,
el japonés,Japanisch,
el francés,Französisch,
el árabe,Arabisch,
el turco,Türkisch,
el chino,Chinesisch,
Francia,Frankreich,
Rusia,Russland,
el italiano,Italienisch,
el ruso,Russisch,
la nacionalidad,Nationalität,
estadounidense,US-amerikanisch,
austriaco,österreichisch,
el chico,"junger Mann, Junge",
la chica,"Mädchen, junge Frau",
pero,aber,
canadiense,kanadisch,
el nombre,Name,
el apellido,Nachname,
la edad,Alter,
la dirección,Adresse,
el número,"Nummer, Zahl",
el teléfono,Telefon,
el móvil,Mobiltelefon,
la ciudad,Stadt,
la profesión,Beruf,
el estado civil,Familienstand,
cómo,wie,
cuál,welche/r/s,
el centro,"Stadtmitte, Zentrum",
taxista,Taxifahrer/in,
el profesor,Lehrer,
como,als,
el/ la estudiante,"Student/in, Lerner/in",
la lengua materna,Muttersprache,
el saludo,Gruß,
la despedida,Verabschiedung,
buenas tardes,"guten Tag, guten Abend",
buenas noches,"guten Abend, gute Nacht",
hola,hallo,
mucho gusto,angenehm,
encantado,sehr erfreut,
adiós,"auf Wiedersehen, tschüs",
